SIZES,CITY,jong,totwage
2,11,34,58619
3,11,58,153063
3,11,62,169064
1,11,4,7316
4,11,116,533890
2,11,12,27616
3,11,2,829
2,11,25,57310
1,11,3,5060
1,11,3,7250
4,11,103,326843
2,11,14,48002
1,11,5,15420
1,11,4,9500
2,11,6,19768
2,11,9,19764
2,11,16,39760
3,11,8,15450
3,11,7,12058
3,11,11,28276
4,11,102,267905
4,11,7,14861
4,11,36,89068
5,11,266,721037
5,11,223,954858
4,11,162,1001038
4,11,22,57782
4,11,66,187256
3,11,30,62895
5,11,173,337695
1,11,3,5640
2,11,25,45254
3,11,58,131152
4,11,176,429278
4,11,131,256710
5,11,187,527639
5,11,264,912379
5,11,243,823410
6,11,219,570940
2,11,13,31422
3,11,49,179271
4,11,88,214092
5,11,463,1021382
1,11,7,12220
2,11,9,15986
4,11,70,162816
2,11,10,47967
5,11,322,813575
1,11,3,8200
2,11,10,20856
3,11,31,55929
1,11,5,11385
1,11,10,23084
1,11,6,12792
1,11,9,19061
2,11,14,27222
2,11,14,23625
2,11,19,52144
3,11,10,20065
3,11,28,67837
1,11,4,12781
3,11,33,130387
4,11,82,229580
5,11,222,463630
1,11,7,16583
1,11,4,5900
3,11,46,105860
2,11,7,6300
2,11,19,36309
3,11,28,69812
3,11,40,138248
4,11,185,373063
1,11,14,42623
1,11,3,9867
2,11,9,19083
3,11,39,129876
4,11,205,861277
2,11,15,37658
3,11,25,80520
1,11,4,6274
2,11,8,9515
2,11,5,6474
3,11,76,424468
4,11,129,668624
2,11,8,11870
3,11,22,90029
1,11,8,10186
2,11,10,18874
3,11,37,126442
5,11,342,941746
1,11,6,10340
1,11,5,9938
3,11,32,74375
1,11,2,4800
1,11,19,42610
1,11,3,5890
1,11,9,22700
2,11,8,21000
2,11,13,39412
2,11,5,14090
3,11,100,332210
3,11,51,108203
3,11,68,142314
4,11,177,299986
1,11,4,6550
1,11,10,8900
2,11,17,39555
3,11,40,91297
3,11,62,158420
4,11,37,227266
2,11,4,8100
1,11,2,2100
